time,ego_velocity,leader_velocity,ego_acceleration,leader_acceleration,space_gap
561.6,27.272804249858638,27.173,0.0,0.35999999999989624,126.83126171880731
561.7,27.272804249858638,27.2,0.0,0.26999999999994884,126.82263129382144
561.8,27.272804249858638,27.222,0.0,0.22000000000022027,126.81645086883559
561.9,27.272804249858638,27.239,0.0,0.16999999999995594,126.81222044384972
562.0,27.272804249858638,27.245,0.0,0.05999999999998863,126.80914001886386
562.1,27.272804249858638,27.245,0.0,0.0,126.806359593878
562.2,27.272804249858638,27.244,0.0,-0.010000000000009947,126.80352916889214
562.3,27.272804249858638,27.243,0.0,-0.010000000000021316,126.80059874390628
562.4,27.272804249858638,27.24,0.0,-0.029999999999994316,126.79746831892041
562.5,27.272804249858638,27.239,0.0,-0.00999999999997442,126.79413789393455
562.6,27.272804249858638,27.244,0.0,0.049999999999978686,126.79100746894868
562.7,27.272804249858638,27.251,0.0,0.06999999999999858,126.78847704396281
562.8,27.272804249858638,27.26,0.0,0.09000000000008526,126.78674661897695
562.9,27.272804249858638,27.27,0.0,0.09999999999995737,126.78596619399109
563.0,27.272804249858638,27.283,0.0,0.1299999999999872,126.78633576900522
563.1,27.272804249858638,27.293,0.0,0.09999999999995737,126.78785534401936
563.2,27.272804249858638,27.295,0.0,0.020000000000019894,126.7899749190335
563.3,27.272804249858638,27.296,0.0,0.00999999999998579,126.79224449404764
563.4,27.272804249858638,27.3,0.0,0.04000000000000426,126.79476406906177
563.5,27.272804249858638,27.312,0.0,0.11999999999997726,126.7980836440759
563.6,27.272804249858638,27.327,0.0,0.14999999999997157,126.80275321909004
563.7,27.272804249858638,27.345,0.0,0.17999999999993035,126.80907279410417
563.8,27.272804249858638,27.367,0.0,0.22000000000022027,126.8173923691183
563.9,27.272804249858638,27.383,0.0,0.159999999999946,126.82761194413243
564.0,27.272804249858638,27.391,0.0,0.079999999999973,126.83903151914657
564.1,27.272804249858638,27.394,0.0,0.029999999999994316,126.85100109416071
564.2,27.272804249858638,27.397,0.0,0.029999999999994316,126.86327066917485
564.3,27.272804249858638,27.405,0.0,0.08000000000009948,126.87609024418897
564.4,27.272804249858638,27.417,0.0,0.11999999999997726,126.88990981920311
564.5,27.272804249858638,27.432,0.0,0.14999999999993605,126.90507939421725
564.6,27.272804249858638,27.446,0.0,0.13999999999999715,126.9216989692314
564.7,27.272804249858638,27.459,0.0,0.12999999999995168,126.93966854424554
564.8,27.272804249858638,27.472,0.0,0.130000000000135,126.95893811925966
564.9,27.272804249858638,27.485,0.0,0.12999999999995168,126.97950769427379
565.0,27.272804249858638,27.5,0.0,0.14999999999997157,127.00147726928793
565.1,27.272804249858638,27.516,0.0,0.159999999999946,127.02499684430208
565.2,27.272804249858638,27.53,0.0,0.13999999999999715,127.05001641931622
565.3,27.272804249858638,27.541,0.0,0.11000000000009237,127.07628599433033
565.4,27.272804249858638,27.549,0.0,0.079999999999973,127.10350556934448
565.5,27.272804249858638,27.558,0.0,0.08999999999998294,127.13157514435862
565.6,27.272804249858638,27.569,0.0,0.10999999999996732,127.16064471937277
565.7,27.272804249858638,27.586,0.0,0.16999999999995594,127.1911142943869
565.8,27.272804249858638,27.609,0.0,0.2300000000002416,127.22358386940101
565.9,27.272804249858638,27.631,0.0,0.21999999999993464,127.25830344441516
566.0,27.272804249858638,27.652,0.0,0.20999999999996022,127.29517301942931
566.1,27.272804249858638,27.672,0.0,0.19999999999995027,127.33409259444346
566.2,27.272804249858638,27.691,0.0,0.18999999999994033,127.3749621694576
566.3,27.272804249858638,27.709,0.0,0.18000000000017052,127.41768174447171
566.4,27.272804249858638,27.726,0.0,0.16999999999995594,127.46215131948586
566.5,27.272804249858638,27.743,0.0,0.16999999999995594,127.5083208945
566.6,27.272804249858638,27.76,0.0,0.16999999999999146,127.55619046951415
566.7,27.272804249858638,27.78,0.0,0.19999999999995027,127.6059100445283
566.8,27.272804249858638,27.804,0.0,0.24000000000019184,127.65782961954238
566.9,27.272804249858638,27.826,0.0,0.21999999999997016,127.71204919455653
567.0,27.272804249858638,27.845,0.0,0.18999999999994033,127.76831876957068
567.1,27.272804249858638,27.861,0.0,0.15999999999998152,127.82633834458483
567.2,27.272804249858638,27.876,0.0,0.14999999999997157,127.88590791959898
567.3,27.272804249858638,27.892,0.0,0.1600000000001279,127.94702749461305
567.4,27.272804249858638,27.911,0.0,0.18999999999997585,128.00989706962721
567.5,27.272804249858638,27.929,0.0,0.17999999999993035,128.07461664464137
567.6,27.272804249858638,27.946,0.0,0.16999999999999146,128.1410862196555
567.7,27.272804249858638,27.967,0.0,0.2099999999999247,128.20945579466965
567.8,27.272804249858638,27.989,0.0,0.22000000000022027,128.2799753696837
567.9,27.286197917358578,28.013,0.1339366749993595,0.23999999999995453,128.35212526132287
568.0,27.301046218456918,28.041,0.14848301098335276,0.27999999999992325,128.42546305453212
568.1,27.31729742908269,28.065,0.1625121062576664,0.23999999999995453,128.49984587215516
568.2,27.33486358949567,28.084,0.1756616041297423,0.18999999999994033,128.57468782122626
568.3,27.353621250679158,28.102,0.18757661183508018,0.18000000000017052,128.64956357921744
568.4,27.373443549436594,28.12,0.19822298757431514,0.17999999999996588,128.72431033921168
568.5,27.3942081389842,28.137,0.2076458954760315,0.16999999999995594,128.79877775479065
568.6,27.415790722661637,28.155,0.21582583677431286,0.17999999999996588,128.87287781170838
568.7,27.438079567456565,28.178,0.22288844794925294,0.22999999999994458,128.94683429720249
568.8,27.461002983422993,28.205,0.22923415966448563,0.2700000000002203,129.02103016965845
568.9,27.484518896654887,28.234,0.23515913231887192,0.2899999999999687,129.09570407565457
569.0,27.508597962859167,28.263,0.24079066204273986,0.2899999999999332,129.1708982326789
569.1,27.533208973981722,28.293,0.24611011122548396,0.2999999999999076,129.24660788583688
569.2,27.55835531788738,28.327,0.2514634390565014,0.3399999999999474,129.32302967124343
569.3,27.584100575081916,28.373,0.2574525719456165,0.46000000000041213,129.4009068765949
569.4,27.610659319018467,28.423,0.26558743936544793,0.4999999999998579,129.48096888188988
569.5,27.638280441374473,28.468,0.2762112235599869,0.44999999999991475,129.56307189387024
569.6,27.66711234877498,28.51,0.2883190740050117,0.41999999999992044,129.6467022543628
569.7,27.69723307066181,28.552,0.3012072188682068,0.4199999999998849,129.73158498339097
569.8,27.728698286977966,28.596,0.3146521631618401,0.440000000000405,129.8176884155089
569.9,27.761573482765925,28.642,0.3287519578795103,0.45999999999988916,129.90507482702174
570.0,27.795932385263583,28.689,0.34358902497651533,0.4699999999998991,129.99374953362027
570.1,27.831838730173473,28.738,0.35906344909880045,0.4899999999998835,130.08371097784845
570.2,27.86936305553758,28.79,0.37524325364097844,0.5199999999998778,130.17505088856294
570.3,27.908599380483516,28.842,0.3923632494597096,0.520000000000469,130.2677527667618
570.4,27.94960806903576,28.894,0.4100868855223831,0.5199999999998778,130.36164239428584
570.5,27.99241589098223,28.947,0.42807821946457586,0.5299999999998878,130.45659119628496
570.6,28.03703597407845,29.003,0.44620083096209506,0.559999999999882,130.55261860303196
570.7,28.08350709332852,29.061,0.4647111925006018,0.5799999999998664,130.64979144966162
570.8,28.13187191544352,29.12,0.4836482211504184,0.5900000000005471,130.74807249922293
570.9,28.18215561533502,29.178,0.5028369989148875,0.5799999999998664,130.84727112268402
571.0,28.234324670278568,29.235,0.5216905494353474,0.5699999999998565,130.94709710840337
571.1,28.288276818650314,29.292,0.5395214837173395,0.569999999999892,131.04731703395694
